"Tỉnh thành[a]","Ca nhiễm","Tử vong","Ca mắc mới","","","",""
"Cả nước[b]","11.549.848","42.789","140",NA,NA,NA,NA
"Hà Nội","1.646.923","1.232","2",NA,NA,NA,NA
"TP. Hồ Chí Minh","629.018","19.985","3",NA,NA,NA,NA
"Hải Phòng","537.527","138","5",NA,NA,NA,NA
"Nghệ An","502.049","145","11",NA,NA,NA,NA
"Bắc Giang","391.440","92","0",NA,NA,NA,NA
"Vĩnh Phúc","375.686","19","0",NA,NA,NA,NA
"Hải Dương","372.391","117","5",NA,NA,NA,NA
"Quảng Ninh","356.404","150","7",NA,NA,NA,NA
"Bắc Ninh","353.869","136","0",NA,NA,NA,NA
"Thái Nguyên","347.519","112","1",NA,NA,NA,NA
"Phú Thọ","331.520","97","4",NA,NA,NA,NA
"Bình Dương","325.667","3.519","4",NA,NA,NA,NA
"Nam Định","301.101","150","1",NA,NA,NA,NA
"Thái Bình","296.789","23","0",NA,NA,NA,NA
"Hưng Yên","244.028","5","2",NA,NA,NA,NA
"Hoà Bình","239.941","102","1",NA,NA,NA,NA
"Lào Cai","188.846","38","0",NA,NA,NA,NA
"Thanh Hóa","178.595","109","2",NA,NA,NA,NA
"Đắk Lắk","172.439","201","0",NA,NA,NA,NA
"Lạng Sơn","160.752","85","0",NA,NA,NA,NA
"Yên Bái","158.046","13","6",NA,NA,NA,NA
"Sơn La","153.602","0","8",NA,NA,NA,NA
"Cà Mau","147.734","357","2",NA,NA,NA,NA
"Tuyên Quang","147.582","14","0",NA,NA,NA,NA
"Tây Ninh","140.444","944","0",NA,NA,NA,NA
"Bình Định","139.890","281","6",NA,NA,NA,NA
"Quảng Bình","129.648","74","13",NA,NA,NA,NA
"Hà Giang","122.610","80","0",NA,NA,NA,NA
"Khánh Hòa","122.036","364","4",NA,NA,NA,NA
"Bình Phước","120.003","224","1",NA,NA,NA,NA
"Bà Rịa - Vũng Tàu","110.822","497","2",NA,NA,NA,NA
"Đà Nẵng","108.712","338","0",NA,NA,NA,NA
"Đồng Nai","107.518","1.903","0",NA,NA,NA,NA
"Ninh Bình","104.800","93","0",NA,NA,NA,NA
"Vĩnh Long","103.505","829","0",NA,NA,NA,NA
"Bến Tre","99.799","490","0",NA,NA,NA,NA
"Cao Bằng","99.051","59","3",NA,NA,NA,NA
"Lâm Đồng","98.238","141","0",NA,NA,NA,NA
"Hà Nam","91.467","65","3",NA,NA,NA,NA
"Điện Biên","90.757","23","26",NA,NA,NA,NA
"Quảng Trị","86.293","38","3",NA,NA,NA,NA
"Bắc Kạn","77.048","19","2",NA,NA,NA,NA
"Cần Thơ","76.925","958","0",NA,NA,NA,NA
"Lai Châu","75.519","0","1",NA,NA,NA,NA
"Trà Vinh","75.174","115","0",NA,NA,NA,NA
"Đắk Nông","73.427","47","0",NA,NA,NA,NA
"Gia Lai","70.961","116","0",NA,NA,NA,NA
"Hà Tĩnh","55.279","50","0",NA,NA,NA,NA
"Bình Thuận","54.300","482","0",NA,NA,NA,NA
"Đồng Tháp","51.614","1.007","6",NA,NA,NA,NA
"Quảng Ngãi","50.513","127","0",NA,NA,NA,NA
"Long An","50.297","1.088","0",NA,NA,NA,NA
"Quảng Nam","49.556","150","0",NA,NA,NA,NA
"Thừa Thiên Huế","48.186","173","6",NA,NA,NA,NA
"Bạc Liêu","46.949","470","0",NA,NA,NA,NA
"Phú Yên","44.481","137","0",NA,NA,NA,NA
"Kiên Giang","43.659","1.027","0",NA,NA,NA,NA
"An Giang","43.297","1.325","0",NA,NA,NA,NA
"Tiền Giang","39.902","1.290","0",NA,NA,NA,NA
"Sóc Trăng","34.457","634","0",NA,NA,NA,NA
"Kon Tum","26.342","1","0",NA,NA,NA,NA
"Hậu Giang","17.900","231","0",NA,NA,NA,NA
"Ninh Thuận","9.001","60","0",NA,NA,NA,NA
